Folder Name,Place Name,Confidence Score,Biblical References URLs,Biblical References,Coordinates,US Matching Cities,US Matching States,Place Type,Confidence Numeric
Jordan 1 (Jordan River),Jordan,Most Likely,https://www.biblegateway.com/passage/?search=Zech.11.3&amp;version=ESV,Zechariah 11:3,"35.61916,33.18645 35.610403,33.165053 35.627097,33.151602 35.629627,33.139012 35.621243,33.071613 35.63096,33.035985 35.624071,32.906789 35.612225,32.900013 35.611199,32.89245 35.618909,32.890198 35.579259,32.710794 35.562705,32.702003 35.570919,32.688577 35.562945,32.689422 35.556646,32.67516 35.570185,32.653303 35.560931,32.645618 35.567942,32.641891 35.560625,32.637686 35.567867,32.632956 35.561371,32.624688 35.57233,32.614124 35.5671,32.596645 35.578145,32.596851 35.576717,32.568515 35.570319,32.565745 35.577367,32.552217 35.568371,32.550933 35.571665,32.540148 35.561183,32.544937 35.559209,32.531704 35.567186,32.525029 35.552643,32.514755 35.559922,32.507369 35.562529,32.514516 35.558356,32.502088 35.575855,32.496624 35.580232,32.487561 35.565512,32.481058 35.569991,32.477198 35.562106,32.464576 35.574127,32.45885 35.566467,32.452866 35.566129,32.435862 35.555513,32.431027 35.562449,32.424072 35.551897,32.422405 35.559171,32.418294 35.56069,32.401025 35.546463,32.400654 35.563391,32.38385 35.561242,32.363596 35.552906,32.366234 35.55959,32.348289 35.553056,32.321909 35.563774,32.309687 35.555065,32.298299 35.567765,32.283659 35.557455,32.273209 35.562658,32.250909 35.57108,32.251054 35.560867,32.241472 35.564066,32.228787 35.572733,32.229429 35.566542,32.219445 35.573902,32.211267 35.562766,32.204477 35.570332,32.191659 35.558549,32.188616 35.560129,32.173635 35.553464,32.176938 35.552101,32.170927 35.55739,32.167603 35.547734,32.166504 35.560698,32.150883 35.543776,32.142406 35.551189,32.128342 35.532467,32.107033 35.546061,32.082252 35.533605,32.076675 35.529732,32.05038 35.519164,32.047498 35.522211,32.022341 35.529155,32.018585 35.522339,32.013944 35.52893,32.008869 35.525408,32.002754 35.538829,31.995948 35.532907,31.986366 35.548343,31.968917 35.541406,31.958096 35.545813,31.935675 35.52651,31.922692 35.524321,31.907679 35.534787,31.894454 35.533036,31.881835 35.54987,31.87273 35.536454,31.856369 35.548966,31.844008 35.548697,31.823683 35.53895,31.816223 35.551522,31.796516 35.547348,31.783135 35.558531,31.758222","Jordan (Minnesota) - town: 44.6663146,-93.6261918; Village of Jordan (New York) - village: 43.0653441,-76.4729927; Jordan (Montana) - town: 47.32121,-106.910461; Jordan (Iowa) - hamlet: 42.0491506,-93.7841128; Jordan (Indiana) - hamlet: 39.3983772,-86.916677; Jordan (Virginia) - hamlet: 37.6759644,-75.6932622; Jordan (Oregon) - village: 44.7270326,-122.699036; Jordan (Indiana) - hamlet: 38.6886592,-87.206957; Jordan (West Virginia) - hamlet: 39.5486945,-80.0811837; Jordan (Kentucky) - hamlet: 36.5033954,-89.0370086; Jordan (Washington) - village: 48.1457035,-122.037225; Jordan (Michigan) - hamlet: 43.655307,-84.7280685; Jordan (Minnesota) - hamlet: 47.3763095,-91.6301675; Jordan (Oregon) - village: 44.7270667,-122.699808; Jordan (Alabama) - hamlet: 32.7054074,-86.0021854; Jordan (North Carolina) - hamlet: 35.6691915,-78.3069804; Jordan (South Carolina) - hamlet: 33.6059969,-80.2089709; Jordan (South Carolina) - hamlet: 35.0431706,-82.2523351; Jordan (Georgia) - hamlet: 32.0347934,-82.6683193; Jordan (Alabama) - hamlet: 31.5048862,-88.2472334; Jordan (Arkansas) - hamlet: 36.2328457,-92.1843211; Jordan (Missouri) - hamlet: 38.0214205,-93.1413062; Jordan (Texas) - hamlet: 29.940778,-97.3547146; Jordan (New Mexico) - hamlet: 34.7945081,-103.8482993; Jordan (Arizona) - hamlet: 34.6902995,-111.9057098",Alabama; Arizona; Arkansas; Georgia; Indiana; Iowa; Kentucky; Michigan; Minnesota; Missouri; Montana; New Mexico; New York; North Carolina; Oregon; South Carolina; Texas; Virginia; Washington; West Virginia,hamlet; town; village,100
"Jordan Valley (Jordan, Plain)",Jordan Valley,Most Likely,https://www.biblegateway.com/passage/?search=Gen.13.10&amp;version=ESV; https://www.biblegateway.com/passage/?search=Gen.13.11&amp;version=ESV; https://www.biblegateway.com/passage/?search=Gen.13.12&amp;version=NASB; https://www.biblegateway.com/passage/?search=Gen.19.17&amp;version=NRSV; https://www.biblegateway.com/passage/?search=Gen.19.25&amp;version=NRSV; https://www.biblegateway.com/passage/?search=Gen.19.28&amp;version=NRSV; https://www.biblegateway.com/passage/?search=Gen.19.29&amp;version=NRSV,"Genesis 13:10, Genesis 13:11, Genesis 13:12, Genesis 19:17, Genesis 19:25, Genesis 19:28, Genesis 19:29","35.641497,31.738839 35.701387,31.844513 35.595213,31.965858 35.668632,32.19519 35.598618,32.350868 35.635348,32.727494 35.566054,32.71703 35.575584,32.661326 35.567754,32.623829 35.519762,32.506111 35.539992,32.362357 35.556018,32.270368 35.540053,32.197291 35.489048,32.083101 35.434166,32.030584 35.447941,31.960009 35.398864,31.951947 35.377756,31.918242 35.421166,31.893264 35.430094,31.847714 35.454051,31.779867 35.494221,31.751456 35.641497,31.738839","Jordan Valley (Oregon) - village: 42.9752442,-117.0551332",Oregon,village,100
Kadesh 2 (Tahtim Hodshi),Kadesh,Most Likely,https://www.biblegateway.com/passage/?search=2Sam.24.6&amp;version=ESV,II Samuel 24:6,"36.5196,34.55781","Kadesh (Louisiana) - hamlet: 31.7043331,-92.9112687",Louisiana,hamlet,100
Kartah,Kartah,Most Likely,https://www.biblegateway.com/passage/?search=Josh.21.34&amp;version=ESV,Joshua 21:34,"34.938333,32.687222","Kartah (Georgia) - hamlet: 34.4478655,-85.2485646",Georgia,hamlet,100
"Kidron (Kidron Valley, Wadi Kidron, Brook Kidron)",Kidron,Most Likely,https://www.biblegateway.com/passage/?search=Neh.2.15&amp;version=NLT,Nehemiah 2:15,"35.239316,31.788507 35.239831,31.787471 35.238927,31.784551 35.23982,31.781778 35.238802,31.779705 35.238579,31.775457 35.237197,31.773835 35.235128,31.768193 35.238909,31.763669 35.245874,31.762618 35.249998,31.758589 35.250394,31.756765 35.251913,31.75581 35.25503,31.75075 35.254896,31.747927 35.257069,31.746652 35.258168,31.742495 35.260009,31.741996 35.263736,31.737983 35.26489,31.73237 35.263071,31.722762 35.265163,31.719677 35.268178,31.719997 35.271671,31.722259 35.273864,31.722671 35.28033,31.727879 35.284261,31.729717 35.285968,31.729091 35.287863,31.72989 35.289398,31.729263 35.292108,31.729734 35.292693,31.728839 35.295739,31.728148 35.29588,31.726793 35.297961,31.727152 35.308389,31.724921 35.310025,31.723077 35.313516,31.723151 35.313852,31.721777 35.318827,31.722349 35.318914,31.723086 35.320204,31.722856 35.32054,31.724054 35.321971,31.7241 35.32565,31.721923 35.325174,31.719179 35.326608,31.717979 35.326784,31.715495 35.329735,31.714927 35.330501,31.712606 35.329405,31.711896 35.329283,31.710246 35.33254,31.709431 35.332785,31.707103 35.331489,31.702266 35.335782,31.700047 35.333835,31.69605 35.336051,31.69588 35.336901,31.6938 35.339254,31.69408 35.341332,31.691993 35.341332,31.690865 35.342933,31.691211 35.344957,31.689476 35.345831,31.690565 35.34721,31.690311 35.347402,31.691811 35.349418,31.692222 35.351748,31.694361 35.355189,31.694478 35.355933,31.6956 35.358516,31.695756 35.365659,31.692254 35.368434,31.692548 35.379923,31.689436 35.38131,31.689952 35.382589,31.689103 35.384194,31.685691 35.388895,31.684339 35.39353,31.68633 35.397349,31.691661 35.403787,31.690096 35.40549,31.690538 35.40754,31.693388 35.409452,31.69356 35.41063,31.690293 35.415278,31.686509 35.416722,31.686091 35.416491,31.687 35.41795,31.687398 35.418243,31.684277 35.421226,31.684028 35.420187,31.68162 35.42088,31.680342 35.422035,31.680367 35.421544,31.679187 35.422324,31.679457 35.424085,31.678057 35.427925,31.679335 35.430812,31.678573 35.433382,31.67646 35.434481,31.673505 35.437496,31.671639 35.443026,31.671938 35.449436,31.665916","Kidron (Ohio) - village: 40.7408894,-81.7448536",Ohio,village,100
Laban,Laban,Most Likely,https://www.biblegateway.com/passage/?search=Deut.1.1&amp;version=ESV,Deuteronomy 1:1,"34.781084,29.821546 34.780612,29.823519 34.780612,29.825418 34.779968,29.826907 34.77838,29.828284 34.777608,29.829699 34.777265,29.831002 34.77735,29.832007 34.777823,29.833385 34.777479,29.834018 34.777308,29.836028 34.777908,29.837964 34.778166,29.841277 34.777522,29.84284 34.777651,29.844218 34.777522,29.845446 34.77632,29.849019 34.776664,29.850583 34.77778,29.852183 34.777951,29.853076 34.777565,29.853635 34.774389,29.854975 34.774003,29.856463 34.775634,29.858697 34.77572,29.859702 34.774518,29.860558 34.772673,29.860371 34.770999,29.859702 34.769368,29.859739 34.768724,29.860669 34.768896,29.862232 34.771986,29.86454 34.772115,29.866475 34.771214,29.867443 34.770012,29.867778 34.768167,29.867443 34.766107,29.867629 34.764476,29.868931 34.763017,29.87176 34.761815,29.872727 34.760571,29.873099 34.759626,29.874364 34.758339,29.877341 34.757137,29.87883 34.755077,29.878904 34.75276,29.877937 34.750528,29.877341 34.749584,29.87816 34.750786,29.882104 34.749498,29.883593 34.747782,29.883965 34.745121,29.883742 34.741945,29.885007 34.741001,29.885751 34.73937,29.885602 34.736881,29.884263 34.733963,29.884188 34.732761,29.884932 34.729414,29.886346 34.728126,29.887909 34.72641,29.889546 34.722891,29.891332 34.721518,29.892523 34.719973,29.89602 34.718084,29.897731 34.71611,29.899145 34.715166,29.901675 34.712849,29.910529 34.711819,29.912761 34.709673,29.914546 34.706068,29.91648 34.704952,29.919679 34.704523,29.92206 34.705038,29.92444 34.704952,29.928978 34.705553,29.930912 34.704866,29.93359 34.705296,29.936044 34.706068,29.939317 34.705982,29.943482 34.704523,29.946308 34.703321,29.947498 34.700146,29.949952 34.699631,29.952034 34.698601,29.959322 34.696369,29.964007 34.692936,29.967502 34.691563,29.97003 34.690962,29.973896 34.692678,29.977985 34.695597,29.982595 34.698515,29.986832 34.703236,29.992036 34.704266,29.994563 34.704523,29.996645 34.704008,30.000361 34.703493,30.007274 34.703021,30.009504 34.702592,30.010953 34.701734,30.01244 34.700832,30.013592 34.699974,30.014186 34.699159,30.015115 34.698772,30.016769","Laban (Virginia) - hamlet: 37.4004138,-76.2835524; Laban (Texas) - hamlet: 29.6849576,-96.4694138",Texas; Virginia,hamlet,100
Lasea,Lasea,Most Likely,https://www.biblegateway.com/passage/?search=Acts.27.8&amp;version=ESV,Acts:27:8,"24.811111,34.940556","Lasea (Tennessee) - hamlet: 35.6556254,-86.9013909",Tennessee,hamlet,100
Lebanon,Lebanon,Most Likely,https://www.biblegateway.com/passage/?search=Zech.10.10&amp;version=ESV; https://www.biblegateway.com/passage/?search=Zech.11.1&amp;version=ESV,"Zechariah 10:10, Zechariah 11:1","35.583611,33.54","Lebanon (Pennsylvania) - city: 40.3429683,-76.4233816; Lebanon (New Hampshire) - city: 43.643032,-72.251587; Lebanon (Tennessee) - city: 36.2079779,-86.2910945; Lebanon (Ohio) - city: 39.4353373,-84.2029922; Lebanon (Indiana) - town: 40.0483744,-86.4691677; Lebanon (Missouri) - town: 37.6806669,-92.6637835; Lebanon (Kentucky) - city: 37.5697869,-85.2527381; Lebanon (Connecticut) - town: 41.6362097,-72.2125789; Lebanon (Oregon) - town: 44.5363364,-122.9072329; Lebanon (Kansas) - hamlet: 39.809734,-98.55562; Lebanon (Illinois) - village: 38.6039375,-89.8073195; Lebanon (Virginia) - town: 36.9009076,-82.0801257; Town of Lebanon (New York) - village: 42.7814571,-75.6476841; Lebanon (Maine) - town: 43.4146088,-70.917875; Lebanon (New Jersey) - village: 40.6417683,-74.8359987; Lebanon (South Dakota) - town: 45.069703,-99.769837; Lebanon (Wisconsin) - hamlet: 43.2558627,-88.6267741; Lebanon (Nebraska) - village: 40.050547,-100.2770123",Connecticut; Illinois; Indiana; Kansas; Kentucky; Maine; Missouri; Nebraska; New Hampshire; New Jersey; New York; Ohio; Oregon; Pennsylvania; South Dakota; Tennessee; Virginia; Wisconsin,city; hamlet; town; village,100
Lehi,Lehi,Most Likely,https://www.biblegateway.com/passage/?search=Judg.15.9&amp;version=ESV; https://www.biblegateway.com/passage/?search=Judg.15.14&amp;version=ESV; https://www.biblegateway.com/passage/?search=Judg.15.19&amp;version=ESV,"Judges 15:9, Judges 15:14, Judges 15:19","35.001006,31.748796","Lehi (Utah) - city: 40.3881114,-111.8486019; Lehi (Arkansas) - hamlet: 35.1473132,-90.2925972",Arkansas; Utah,city; hamlet,100
Lod,Lod,Most Likely,https://www.biblegateway.com/passage/?search=Neh.7.37&amp;version=ESV; https://www.biblegateway.com/passage/?search=Neh.11.35&amp;version=ESV,"Nehemiah 7:37, Nehemiah 11:35","34.9,31.95","Lodi (California) - city: 38.133287,-121.2720484",California,city,100
Macedonia,Macedonia,Most Likely,https://www.biblegateway.com/passage/?search=Rom.15.26&amp;version=ESV,Rom:15:26,"19.435595,40.392179 20.925919,40.292434 21.631536,39.967708 22.690401,40.035755 22.61989,40.113744 22.750642,40.442579 22.831701,40.37209 23.251951,40.193534 23.31789,39.929366 23.791315,39.861007 23.803805,39.949841 23.41974,40.19926 23.642845,40.188472 23.873873,39.925472 23.989156,39.896443 24.092459,39.972007 24.081142,40.096083 23.982696,40.190757 23.802165,40.267341 23.904409,40.292757 24.003015,40.265771 24.294196,40.101079 24.453972,40.140395 24.38777,40.25841 24.000989,40.494644 23.954488,40.41691 23.883055,40.496659 23.978651,40.537689 23.909404,40.595009 23.743447,40.696574 23.804003,40.747296 24.045438,40.695959 24.384515,40.824327 24.383585,40.880592 24.453255,40.917432 23.865836,41.500285 22.364147,41.878491 22.164235,42.252529 21.634339,41.906691 20.477368,41.9888 19.850333,41.98078 19.562901,41.784367 19.559572,41.596376 19.428309,41.605405 19.451865,41.547706 19.49872,41.524938 19.37244,41.417611 19.419533,41.297161 19.481821,41.281314 19.432468,41.151737 19.424211,41.009909 19.371979,40.9162 19.342793,40.817656 19.295655,40.637131 19.435595,40.392179","Macedonia (Iowa) - village: 41.1927739,-95.4256198; Macedonia (Alabama) - village: 33.401882549999996,-88.23759618505173; Macedonia (Alabama) - village: 33.3915082,-88.2333664; Macedonia (Ohio) - city: 41.313667,-81.50845; Macedonia (Indiana) - hamlet: 38.0541687,-85.9594038; Macedonia (Tennessee) - hamlet: 36.035619,-85.5313664; Macedonia (South Carolina) - hamlet: 35.0726528,-81.761924; Macedonia (Illinois) - hamlet: 38.0519929,-88.7053365; Macedonia (Ohio) - hamlet: 39.3486653,-84.7957855; Macedonia (Texas) - hamlet: 29.8443962,-96.1546832; Macedonia (Texas) - hamlet: 30.6907685,-97.488045; Macedonia (Tennessee) - hamlet: 35.6559098,-84.3332552; Macedonia (North Carolina) - hamlet: 35.8754399,-76.664942; Macedonia (North Carolina) - hamlet: 36.1018258,-76.6671681; Macedonia (North Carolina) - hamlet: 36.2134724,-80.4775568; Macedonia (South Carolina) - hamlet: 33.270446,-79.8986888; Macedonia (South Carolina) - hamlet: 34.1056988,-81.4420466; Macedonia (Kentucky) - hamlet: 37.4586971,-83.9657596; Macedonia (Georgia) - hamlet: 34.9181481,-83.7248941; Macedonia (Mississippi) - hamlet: 33.8570588,-88.8222757; Macedonia (Tennessee) - hamlet: 35.5906346,-89.3597934; Macedonia (Mississippi) - hamlet: 34.5028799,-89.2086826; Macedonia (Mississippi) - hamlet: 34.362604,-88.7956119; Macedonia (Mississippi) - hamlet: 31.3821175,-89.1686693; Macedonia (Mississippi) - hamlet: 33.0215163,-88.672825; Macedonia (Arkansas) - hamlet: 35.1125904,-90.9523399; Macedonia (Arkansas) - hamlet: 35.005925,-93.4660219; Macedonia (Arkansas) - hamlet: 35.3309141,-92.7626649; Macedonia (Arkansas) - hamlet: 33.1765201,-93.300169; Macedonia (Texas) - hamlet: 33.0475585,-94.9735067; Macedonia (Texas) - hamlet: 32.7292139,-94.5274147; Macedonia (Texas) - hamlet: 32.6681365,-95.321474; Macedonia (Texas) - hamlet: 30.2627105,-94.889927; Macedonia (Tennessee) - hamlet: 36.1278387,-88.4375497; Macedonia (Tennessee) - hamlet: 36.2211776,-88.9831206; Macedonia (Tennessee) - hamlet: 35.366741,-84.4540941; Macedonia (Georgia) - hamlet: 34.2537059,-84.36048; Macedonia (Alabama) - hamlet: 33.5773314,-85.3707853; Macedonia (Georgia) - hamlet: 31.2471252,-84.6613061; Macedonia (Alabama) - hamlet: 34.5200868,-86.0002548; Macedonia (Tennessee) - hamlet: 36.3494935,-86.3216579; Macedonia (Alabama) - hamlet: 32.040428,-86.0316227; Macedonia (Alabama) - hamlet: 33.9373287,-87.3666769",Alabama; Arkansas; Georgia; Illinois; Indiana; Iowa; Kentucky; Mississippi; North Carolina; Ohio; South Carolina; Tennessee; Texas,city; hamlet; village,100
Machpelah,Machpelah,Most Likely,https://www.biblegateway.com/passage/?search=Gen.23.9&amp;version=ESV; https://www.biblegateway.com/passage/?search=Gen.23.17&amp;version=ESV; https://www.biblegateway.com/passage/?search=Gen.23.19&amp;version=ESV; https://www.biblegateway.com/passage/?search=Gen.25.9&amp;version=ESV; https://www.biblegateway.com/passage/?search=Gen.49.30&amp;version=ESV; https://www.biblegateway.com/passage/?search=Gen.50.13&amp;version=ESV,"Genesis 23:9, Genesis 23:17, Genesis 23:19, Genesis 25:9, Genesis 49:30, Genesis 50:13","35.110758,31.524672","Machpelah (North Carolina) - hamlet: 35.4473573,-81.0722995",North Carolina,hamlet,100
Media,Media,Most Likely,https://www.biblegateway.com/passage/?search=Jer.25.25&amp;version=ESV; https://www.biblegateway.com/passage/?search=Jer.51.11&amp;version=ESV; https://www.biblegateway.com/passage/?search=Jer.51.28&amp;version=ESV,"Jeremiah 25:25, Jeremiah 51:11, Jeremiah 51:28","50.011002,30.088045 51.274977,27.694685 51.968945,27.609028 52.543486,27.20282 53.574455,26.563513 54.784824,26.32797 56.551349,26.977192 57.236117,25.52583 59.106793,29.245149 67.553301,30.971734 67.40204,33.293338 63.109926,39.492965 53.925093,36.989022 51.826439,36.676968 50.475233,37.138887 50.333849,37.458567 49.23762,37.615969 49.058806,38.442823 45.126246,41.165846 43.314852,41.359638 41.52824,40.338099 36.877553,40.513882 36.556185,41.467699 35.460059,42.142747 33.730665,39.348271 34.945889,38.788819 39.839415,37.914506 40.277386,36.597958 45.212807,36.061842 47.519954,34.14296 49.578808,32.720199 50.59391,30.775085 50.011002,30.088045","Media (Pennsylvania) - town: 39.9167783,-75.387693; Media (Illinois) - village: 40.7750395,-90.8320824; Media (Alabama) - hamlet: 33.6695503,-87.045831",Alabama; Illinois; Pennsylvania,hamlet; town; village,100
Memphis (Noph),Memphis,Most Likely,https://www.biblegateway.com/passage/?search=Jer.2.16&amp;version=ESV; https://www.biblegateway.com/passage/?search=Jer.44.1&amp;version=ESV; https://www.biblegateway.com/passage/?search=Jer.46.14&amp;version=ESV; https://www.biblegateway.com/passage/?search=Jer.46.19&amp;version=ESV,"Jeremiah 2:16, Jeremiah 44:1, Jeremiah 46:14, Jeremiah 46:19","31.253,29.8488","Memphis (Tennessee) - city: 35.1460249,-90.0517638; Memphis (Texas) - city: 34.7253581,-100.540097; Memphis (Alabama) - hamlet: 33.1365136,-88.2975341; Memphis (Missouri) - town: 40.4578119,-92.1712924; Memphis (Michigan) - city: 42.8964179,-82.7688135; Memphis (Nebraska) - village: 41.0950598,-96.4319172; Memphis (Indiana) - hamlet: 38.4833963,-85.7616319",Alabama; Indiana; Michigan; Missouri; Nebraska; Tennessee; Texas,city; hamlet; town; village,100
Mesopotamia (Aram Naharaim),Mesopotamia,Most Likely,https://www.biblegateway.com/passage/?search=Judg.3.8&amp;version=ESV; https://www.biblegateway.com/passage/?search=Judg.3.10&amp;version=ESV,"Judges 3:8, Judges 3:10","39.032778,36.864444","Mesopotamia Township (Ohio) - village: 41.4583885,-80.9550919",Ohio,village,100
Midian,Midian,Most Likely,https://www.biblegateway.com/passage/?search=Ps.83.9&amp;version=ESV,Psalms 83:9,"35.0122,28.4947","Midian (Kansas) - hamlet: 37.8102951,-96.9530894",Kansas,hamlet,100
Miletus,Miletus,Most Likely,https://www.biblegateway.com/passage/?search=Acts.20.15&amp;version=ESV; https://www.biblegateway.com/passage/?search=Acts.20.17&amp;version=ESV,"Acts:20:15, Acts:20:17","27.275556,37.531111","Miletus (West Virginia) - hamlet: 39.2306436,-80.588709",West Virginia,hamlet,100
Minnith,Minnith,Most Likely,https://www.biblegateway.com/passage/?search=Judg.11.33&amp;version=ESV,Judges 11:33,"35.874681,31.820214","Minnith (Missouri) - hamlet: 37.7981094,-90.050114",Missouri,hamlet,100
Mizpah 3,Mizpah,Most Likely,https://www.biblegateway.com/passage/?search=Neh.3.7&amp;version=ESV; https://www.biblegateway.com/passage/?search=Neh.3.15&amp;version=ESV; https://www.biblegateway.com/passage/?search=Neh.3.19&amp;version=ESV,"Nehemiah 3:7, Nehemiah 3:15, Nehemiah 3:19","35.216417,31.885136","Mizpah (Minnesota) - hamlet: 47.9241673,-94.2038765; Mizpah (Montana) - hamlet: 46.2447241,-105.26748",Minnesota; Montana,hamlet,100
Moab 1,Moab,Most Likely,https://www.biblegateway.com/passage/?search=Zeph.2.8&amp;version=ESV; https://www.biblegateway.com/passage/?search=Zeph.2.9&amp;version=ESV,"Zephaniah 2:8, Zephaniah 2:9","35.701389,31.180556","Moab (Utah) - city: 38.5738096,-109.546214",Utah,city,100
Song,Mount Carmel,Most Likely,,,"35.023333,32.6725","Mount Carmel (Illinois) - town: 38.4108801,-87.7614174; Mount Carmel (Pennsylvania) - village: 40.7968393,-76.4131097; Mount Carmel (Tennessee) - town: 36.5632315,-82.66089975584984; Mount Carmel (Ohio) - hamlet: 39.10083315,-84.2967081956552; Mount Carmel (Indiana) - village: 39.4072748,-84.8732888; Mount Carmel (West Virginia) - hamlet: 39.1709106,-81.3687295; Mount Carmel (Tennessee) - hamlet: 36.1506611,-82.5962567; Mount Carmel (Tennessee) - town: 36.545377,-82.6609898; Mount Carmel (Maryland) - hamlet: 38.5559534,-77.0035858; Mount Carmel (Kentucky) - hamlet: 37.1675437,-87.3683319; Mount Carmel (Maryland) - hamlet: 39.4728779,-77.6552686; Mount Carmel (Maryland) - hamlet: 39.1070544,-76.4621828; Mount Carmel (New York) - hamlet: 42.1086918,-75.5640709; Mount Carmel (Ohio) - hamlet: 39.1058944,-84.3041045; Mount Carmel (Maryland) - hamlet: 39.5887158,-76.7405299; Mount Carmel (Indiana) - hamlet: 38.7169989,-86.249428; Mount Carmel (Alabama) - hamlet: 32.0609803,-86.3652461; Mount Carmel (Arkansas) - hamlet: 34.0284471,-94.0301919; Mount Carmel (North Dakota) - hamlet: 48.9350012,-98.3867792; Mount Carmel (Iowa) - hamlet: 42.1524844,-94.9085982; Mount Carmel (Louisiana) - hamlet: 31.4693431,-93.3804498; Mount Carmel (Arkansas) - hamlet: 35.7442437,-91.4406889; Mount Carmel (Mississippi) - hamlet: 31.6451666,-89.7897983; Mount Carmel (Tennessee) - hamlet: 35.4978597,-89.6489674; Mount Carmel (Tennessee) - hamlet: 35.4978504,-88.0078074; Mount Carmel (Florida) - hamlet: 30.9810157,-87.1185801; Mount Carmel (Alabama) - hamlet: 31.1707298,-86.0010512; Mount Carmel (Alabama) - hamlet: 34.3892583,-86.3691513; Mount Carmel (Tennessee) - hamlet: 35.0309199,-86.2760987; Mount Carmel (Alabama) - hamlet: 34.9364705,-85.7758067; Mount Carmel (Georgia) - hamlet: 34.662859,-85.3099562; Mount Carmel (Kentucky) - hamlet: 38.4845212,-83.6365826; Mount Carmel (South Carolina) - hamlet: 34.0073417,-82.5070757; Mount Carmel (Ohio) - hamlet: 41.2711649,-82.9368571; Mount Carmel (Virginia) - hamlet: 36.8534497,-81.4781684",Alabama; Arkansas; Florida; Georgia; Illinois; Indiana; Iowa; Kentucky; Louisiana; Maryland; Mississippi; New York; North Dakota; Ohio; Pennsylvania; South Carolina; Tennessee; Virginia; West Virginia,hamlet; town; village,100
Mount Carmel (Carmel),Mount Carmel,Most Likely,https://www.biblegateway.com/passage/?search=Song.7.5&amp;version=ESV,Song of Songs 7:5,"35.023333,32.6725","Mount Carmel (Illinois) - town: 38.4108801,-87.7614174; Mount Carmel (Pennsylvania) - village: 40.7968393,-76.4131097; Mount Carmel (Tennessee) - town: 36.5632315,-82.66089975584984; Mount Carmel (Ohio) - hamlet: 39.10083315,-84.2967081956552; Mount Carmel (Indiana) - village: 39.4072748,-84.8732888; Mount Carmel (West Virginia) - hamlet: 39.1709106,-81.3687295; Mount Carmel (Tennessee) - hamlet: 36.1506611,-82.5962567; Mount Carmel (Tennessee) - town: 36.545377,-82.6609898; Mount Carmel (Maryland) - hamlet: 38.5559534,-77.0035858; Mount Carmel (Kentucky) - hamlet: 37.1675437,-87.3683319; Mount Carmel (Maryland) - hamlet: 39.4728779,-77.6552686; Mount Carmel (Maryland) - hamlet: 39.1070544,-76.4621828; Mount Carmel (New York) - hamlet: 42.1086918,-75.5640709; Mount Carmel (Ohio) - hamlet: 39.1058944,-84.3041045; Mount Carmel (Maryland) - hamlet: 39.5887158,-76.7405299; Mount Carmel (Indiana) - hamlet: 38.7169989,-86.249428; Mount Carmel (Alabama) - hamlet: 32.0609803,-86.3652461; Mount Carmel (Iowa) - hamlet: 42.1524844,-94.9085982; Mount Carmel (North Dakota) - hamlet: 48.9350012,-98.3867792; Mount Carmel (Arkansas) - hamlet: 34.0284471,-94.0301919; Mount Carmel (Louisiana) - hamlet: 31.4693431,-93.3804498; Mount Carmel (Arkansas) - hamlet: 35.7442437,-91.4406889; Mount Carmel (Mississippi) - hamlet: 31.6451666,-89.7897983; Mount Carmel (Tennessee) - hamlet: 35.4978597,-89.6489674; Mount Carmel (Tennessee) - hamlet: 35.4978504,-88.0078074; Mount Carmel (Florida) - hamlet: 30.9810157,-87.1185801; Mount Carmel (Alabama) - hamlet: 31.1707298,-86.0010512; Mount Carmel (Alabama) - hamlet: 34.3892583,-86.3691513; Mount Carmel (Tennessee) - hamlet: 35.0309199,-86.2760987; Mount Carmel (Alabama) - hamlet: 34.9364705,-85.7758067; Mount Carmel (Georgia) - hamlet: 34.662859,-85.3099562; Mount Carmel (Kentucky) - hamlet: 38.4845212,-83.6365826; Mount Carmel (South Carolina) - hamlet: 34.0073417,-82.5070757; Mount Carmel (Ohio) - hamlet: 41.2711649,-82.9368571; Mount Carmel (Virginia) - hamlet: 36.8534497,-81.4781684",Alabama; Arkansas; Florida; Georgia; Illinois; Indiana; Iowa; Kentucky; Louisiana; Maryland; Mississippi; New York; North Dakota; Ohio; Pennsylvania; South Carolina; Tennessee; Virginia; West Virginia,hamlet; town; village,100
Mount Ephraim (Ephraim),Mount Ephraim,Most Likely,https://www.biblegateway.com/passage/?search=Jer.4.15&amp;version=ESV; https://www.biblegateway.com/passage/?search=Jer.31.6&amp;version=NKJV; https://www.biblegateway.com/passage/?search=Jer.50.19&amp;version=NKJV,"Jeremiah 4:15, Jeremiah 31:6, Jeremiah 50:19","35.241389,31.922778","Mount Ephraim (New Jersey) - village: 39.8784466,-75.0926738; Mount Ephraim (Ohio) - hamlet: 39.8472944,-81.4178967",New Jersey; Ohio,hamlet; village,100
